,title,date,leads,matches,diverse,signals,per_leads_div,per_match_div
0,Android Engineer,2016-08-03,4872,0,1163,4,0.239,0.0
1,Data Scientist,2016-08-03,156,0,27,5,0.173,0.0
2,Director of IT,2016-08-03,67,0,12,6,0.179,0.0
3,Engineering Director,2016-08-03,315,0,24,5,0.076,0.0
4,Front End Engineer,2016-08-03,2720,0,645,5,0.237,0.0
5,Head of Data Science,2016-08-03,343,0,64,5,0.187,0.0
6,Security Engineer ,2016-08-03,80,0,10,6,0.125,0.0
7,Site Reliability Engineer,2016-08-03,18,0,4,7,0.222,0.0
8,Software Engineer,2016-08-03,4220,3,909,2,0.215,0.333
9,iOS Engineer,2016-08-03,780,0,115,3,0.147,0.0
