,name,count,prob,sex
0,HOLLIS,11.0,0.55,female
1,GRAIG,5.0,1.0,male
2,LUCIEN,41.0,0.98,male
3,CIERRA,30.0,1.0,female
4,DARCEY,31.0,0.55,male
5,SAUL,248.0,1.0,male
6,BERNARDO,265.0,1.0,male
7,RICKIE,25.0,0.88,male
8,DOMINICK,37.0,1.0,male
9,VERLA,2.0,1.0,female
10,DEVON,245.0,0.51,male
11,CHIEKO,1.0,1.0,female
12,BORIS,288.0,1.0,male
13,PALMER,6.0,0.83,male
14,MARITZA,286.0,1.0,female
15,DREW,710.0,0.95,male
16,ARMANDINA,2.0,1.0,female
17,FRED,966.0,0.98,male
18,JORDAN,1774.0,0.77,male
19,CARLENA,4.0,1.0,female
20,WAYNE,1014.0,1.0,male
21,ANGELIQUE,329.0,0.99,female
22,ROSEMARIE,142.0,1.0,female
23,KARLYN,6.0,1.0,female
24,JONELL,3.0,1.0,female
25,CAROLYN,991.0,1.0,female
26,ZOILA,37.0,1.0,female
27,FRANCESCA,1122.0,1.0,female
28,HENRIETTE,113.0,1.0,female
29,BRETT,976.0,0.99,male
30,LAVENIA,2.0,1.0,female
31,ISRAEL,385.0,0.99,male
32,DELMAR,6.0,0.83,male
33,CATHRYN,39.0,1.0,female
34,DARIN,103.0,0.98,male
35,HOUSTON,46.0,0.93,male
36,TAMEKIA,5.0,1.0,female
37,LAVERN,15.0,0.8,female
38,DARRELL,277.0,1.0,male
39,JEANNA,30.0,1.0,female
40,RORY,226.0,0.94,male
41,NOBLE,14.0,0.86,male
42,TRAVIS,985.0,1.0,male
43,CHANTAL,473.0,1.0,female
44,NICKOLAS,23.0,1.0,male
45,FERMIN,52.0,1.0,male
46,MAUDIE,1.0,1.0,female
47,CHERRI,18.0,1.0,female
48,EMMA,3337.0,1.0,female
49,RANDELL,28.0,0.96,male
50,RONI,110.0,0.56,male
51,OLIN,1.0,1.0,male
52,KEN,1435.0,0.99,male
53,REY,116.0,0.94,male
54,DEIDRA,22.0,0.95,female
55,DARLENA,0.0,0.0,None
56,DEL,80.0,0.79,male
57,MARX,9.0,1.0,male
58,PARTICIA,0.0,0.0,None
59,VONDA,17.0,1.0,female
60,RODRIGO,1277.0,1.0,male
61,REFUGIO,2.0,1.0,male
62,AMIRA,137.0,0.99,female
63,RENE,640.0,0.85,male
64,BOB,1593.0,0.98,male
65,CLARE,555.0,1.0,female
66,DOMINIC,461.0,0.97,male
67,CHAN,294.0,0.5,male
68,CLEO,67.0,0.94,female
69,MARIELA,340.0,0.99,female
70,AUGUSTINE,37.0,0.73,male
71,LUCINDA,75.0,1.0,female
72,LON,16.0,0.94,male
73,FREDRICK,35.0,1.0,male
74,BLAINE,71.0,0.97,male
75,ARNITA,5.0,1.0,female
76,RODERICK,76.0,1.0,male
77,CATINA,8.0,1.0,female
78,ROY,651.0,0.99,male
79,ARVILLA,0.0,0.0,None
80,ADRIAN,1515.0,0.97,male
81,WILTON,10.0,1.0,male
82,CHRISTY,650.0,0.99,female
83,ELLIS,73.0,0.63,male
84,DANN,26.0,0.77,male
85,CECILY,26.0,1.0,female
86,DUANE,173.0,1.0,male
87,MARYJO,39.0,1.0,female
88,MANUEL,1954.0,1.0,male
89,DERICK,49.0,1.0,male
90,MERVIN,26.0,1.0,male
91,SILAS,54.0,0.98,male
92,JENETTE,10.0,1.0,female
93,ARNOLD,188.0,0.98,male
94,ELISE,453.0,1.0,female
95,ARACELIS,21.0,1.0,female
96,KENNITH,4.0,0.75,female
97,JERE,42.0,1.0,male
98,ELLIS,73.0,0.63,male
99,LORIANN,9.0,1.0,female
100,JULIAN,1080.0,1.0,male
101,MARCEL,403.0,0.96,male
102,ALEC,188.0,0.97,male
103,GUSSIE,7.0,0.86,female
104,BRITT,163.0,0.93,female
105,CESAR,1342.0,1.0,male
106,SAMUEL,1411.0,1.0,male
107,NATHANIEL,234.0,1.0,male
108,RON,1014.0,0.98,male
109,COLUMBUS,0.0,0.0,None
110,MOHAMMED,1270.0,1.0,male
111,JIMMIE,62.0,0.95,male
112,VINCENT,1424.0,1.0,male
113,MARY,4440.0,1.0,female
114,TAYLOR,1126.0,0.63,female
115,MERLE,42.0,0.76,female
116,RAMIRO,241.0,0.98,male
117,SHALA,10.0,0.9,female
118,DOT,58.0,0.84,female
119,BRITTA,130.0,1.0,female
120,EMMANUEL,761.0,1.0,male
121,SYREETA,16.0,1.0,female
122,LINDSY,13.0,1.0,female
123,SABINE,337.0,1.0,female
124,FOREST,14.0,0.93,male
125,ASLEY,1.0,1.0,female
126,JACQUILINE,1.0,1.0,female
127,CECILE,433.0,1.0,female
128,GALEN,33.0,0.88,male
129,DEANNE,105.0,1.0,female
130,WILHELMINA,10.0,1.0,female
131,DANNY,1633.0,0.95,male
132,CORDELIA,26.0,1.0,female
133,DAMIEN,567.0,1.0,male
134,BERTA,85.0,0.99,female
135,JIMMY,1416.0,1.0,male
136,CAROLYNN,15.0,1.0,female
137,MICAH,166.0,0.81,male
138,EMMITT,4.0,1.0,male
139,SUNNI,15.0,1.0,female
140,KETURAH,4.0,1.0,female
141,FRANCIE,10.0,1.0,female
142,FRITZ,68.0,0.93,male
143,KATERINE,52.0,1.0,female
144,TOMMY,979.0,0.99,male
145,JODI,503.0,0.99,female
146,FRANKLIN,250.0,0.99,male
147,RALPH,323.0,1.0,male
148,RAUL,1038.0,1.0,male
149,DEMARCUS,8.0,1.0,male
150,JUNIOR,288.0,0.99,male
151,JANELLE,244.0,1.0,female
152,KALYN,8.0,1.0,female
153,TRACEE,16.0,1.0,female
154,RUBEN,951.0,0.99,male
155,VITA,91.0,0.97,female
156,TRACEY,1051.0,0.99,female
157,LORRAINE,657.0,1.0,female
158,GEORGIANNA,9.0,1.0,female
159,DONETTE,4.0,1.0,female
160,WILSON,544.0,0.99,male
161,MAE,111.0,0.99,female
162,GWYN,14.0,0.79,male
163,RUSS,246.0,1.0,male
164,WELDON,9.0,1.0,male
165,RONA,52.0,0.94,female
166,ROLF,114.0,1.0,male
167,BEAULAH,1.0,1.0,female
168,ARLIE,14.0,0.64,male
169,ANGELICA,947.0,1.0,female
170,KARMEN,91.0,1.0,female
171,SARITA,126.0,1.0,female
172,MARCELINE,3.0,1.0,female
173,NEIL,1036.0,1.0,male
174,FELTON,1.0,1.0,male
175,DELILAH,14.0,1.0,female
176,THI,25.0,0.8,female
177,DODIE,8.0,1.0,female
178,MURRAY,72.0,0.96,male
179,GERTRUDIS,2.0,1.0,female
